placeType,scenario,order,speaker,korean,english,romanization,vocabulary
hospital,1. Describing Symptoms (증상 설명),1,Staff,안녕하세요. 어디가 아프세요?,Hello. Where does it hurt?,Annyeonghaseyo. Eodiga apeuseyo?,
hospital,1. Describing Symptoms (증상 설명),2,Customer,머리가 너무 아파요.,I have a terrible headache.,Meoriga neomu apayo.,
hospital,1. Describing Symptoms (증상 설명),3,Staff,언제부터 아프셨어요?,Since when have you been in pain?,Eonjebuteo apeusyeosseoyo?,
hospital,1. Describing Symptoms (증상 설명),4,Customer,어제부터요. 열도 있는 것 같아요.,Since yesterday. I think I have a fever too.,Eojebuteoyo. Yeoldo inneun geot gatayo.,
hospital,1. Describing Symptoms (증상 설명),5,Staff,체온을 재 볼게요.,Let me take your temperature.,Cheoneul jae bolgeyo.,
hospital,1. Describing Symptoms (증상 설명),6,Customer,감사합니다.,Thank you.,Gamsahamnida.,
hospital,1. Describing Symptoms (증상 설명),7,Staff,38도네요. 감기인 것 같아요.,It's 38 degrees. It seems like you have a cold.,Samsippal doneyo. Gamgiin geot gatayo.,
hospital,1. Describing Symptoms (증상 설명),8,Customer,약을 받을 수 있나요?,Can I get some medicine?,Yageul badeul su innayo?,
hospital,2. Getting Prescription (처방 받기),1,Staff,처방전 드릴게요.,I'll give you a prescription.,Cheobangjeon deurilgeyo.,
hospital,2. Getting Prescription (처방 받기),2,Customer,이 약은 어떻게 먹어요?,How do I take this medicine?,I yageun eotteoke meogeoyo?,
hospital,2. Getting Prescription (처방 받기),3,Staff,하루에 세 번 식후에 드세요.,Take it three times a day after meals.,Harue se beon sikue deuseyo.,
hospital,2. Getting Prescription (처방 받기),4,Customer,며칠 동안 먹어야 해요?,How many days should I take it?,Myeochil dongan meogeoya haeyo?,
hospital,2. Getting Prescription (처방 받기),5,Staff,5일 동안 드세요.,Take it for 5 days.,O-il dongan deuseyo.,
hospital,2. Getting Prescription (처방 받기),6,Customer,알겠습니다. 감사합니다.,I understand. Thank you.,Algessseumnida. Gamsahamnida.,
hospital,2. Getting Prescription (처방 받기),7,Staff,다 나으면 다시 오세요.,Come back after you recover.,Da naeumyeon dasi oseyo.,
hospital,2. Getting Prescription (처방 받기),8,Customer,네 안녕히 계세요.,Yes goodbye.,Ne annyeonghi gyeseyo.,
hospital,3. Emergency Room (응급실),1,Staff,응급실이 어디예요?,Where is the emergency room?,Eunggeupsiri eodiyeyo?,
hospital,3. Emergency Room (응급실),2,Customer,저쪽 빨간 표지판 따라가세요.,Follow the red sign over there.,Jeojjok ppalgan pyojipan ttaragaseyo.,
hospital,3. Emergency Room (응급실),3,Staff,친구가 다쳤어요!,My friend is injured!,Chinguga dachyeosseoyo!,
hospital,3. Emergency Room (응급실),4,Customer,어디를 다쳤어요?,Where is the injury?,Eodireul dachyeosseoyo?,
hospital,3. Emergency Room (응급실),5,Staff,팔이 부러진 것 같아요.,I think the arm is broken.,Pari bureojin geot gatayo.,
hospital,3. Emergency Room (응급실),6,Customer,의사 선생님을 바로 부를게요.,I'll call the doctor right away.,Uisa seonsaengnimeul baro bureulgeyo.,
hospital,3. Emergency Room (응급실),7,Staff,빨리 부탁드려요!,Please hurry!,Ppalli butakdeuryeoyo!,
hospital,3. Emergency Room (응급실),8,Customer,걱정 마세요. 곧 오실 거예요.,Don't worry. They'll come soon.,Geokjeong maseyo. Got osil geoyeyo.,
hospital,4. At Pharmacy (약국에서),1,Staff,이 처방전으로 약 주세요.,Please give me medicine for this prescription.,I cheobangjeoneullo yak juseyo.,
hospital,4. At Pharmacy (약국에서),2,Customer,네 잠시만요. 5분 정도 걸려요.,Yes just a moment. It takes about 5 minutes.,Ne jamsimanyo. O-bun jeongdo geollyeoyo.,
hospital,4. At Pharmacy (약국에서),3,Staff,진통제도 있나요?,Do you have painkillers too?,Jintongje-do innayo?,
hospital,4. At Pharmacy (약국에서),4,Customer,네 타이레놀 드릴까요?,Yes would you like Tylenol?,Ne Tailenol deurilkkayo?,
hospital,4. At Pharmacy (약국에서),5,Staff,네 주세요. 얼마예요?,Yes please. How much is it?,Ne juseyo. Eolmayeyo?,
hospital,4. At Pharmacy (약국에서),6,Customer,총 15000원입니다.,It's 15,Chong man-ocheon-wonimida.,
hospital,4. At Pharmacy (약국에서),7,Staff,카드로 해도 돼요?,Can I pay by card?,Kadeuro haedo dwaeyo?,
hospital,4. At Pharmacy (약국에서),8,Customer,네 카드도 됩니다.,Yes card is fine.,Ne kadeudo doemnida.,
restaurant,1. Ordering Food (음식 주문),1,Staff,주문하시겠어요?,Would you like to order?,Jumunhasigesseoyo?,
restaurant,1. Ordering Food (음식 주문),2,Customer,네 비빔밥 하나 주세요.,Yes one bibimbap please.,Ne bibimbap hana juseyo.,
restaurant,1. Ordering Food (음식 주문),3,Staff,매운 거 괜찮으세요?,Is spicy food okay for you?,Maeun geo gwaenchaneuseyo?,
restaurant,1. Ordering Food (음식 주문),4,Customer,조금만 매운 걸로 해 주세요.,Please make it a little spicy.,Jogeumman maeun geollo hae juseyo.,
restaurant,1. Ordering Food (음식 주문),5,Staff,음료는 뭐로 하시겠어요?,What would you like to drink?,Eumryoneun mworo hasigesseoyo?,
restaurant,1. Ordering Food (음식 주문),6,Customer,물 주세요.,Water please.,Mul juseyo.,
restaurant,1. Ordering Food (음식 주문),7,Staff,네 알겠습니다. 잠시만 기다려 주세요.,Okay. Please wait a moment.,Ne algessseumnida. Jamsiman gidaryeo juseyo.,
restaurant,1. Ordering Food (음식 주문),8,Customer,감사합니다.,Thank you.,Gamsahamnida.,
restaurant,2. Asking for Recommendations (추천 받기),1,Staff,뭐가 맛있어요?,What's delicious here?,Mwoga masisseoyo?,
restaurant,2. Asking for Recommendations (추천 받기),2,Customer,여기는 삼겹살이 유명해요.,This place is famous for samgyeopsal.,Yeogineun samgyeopsari yumyeonghaeyo.,
restaurant,2. Asking for Recommendations (추천 받기),3,Staff,삼겹살이 뭐예요?,What is samgyeopsal?,Samgyeopsari mwoyeyo?,
